live_url,live_path,demo_path,section,slug,title,in_sitemap,in_scrape,action,note
https://zorgtech.com/catalog/product/diamant-55-f-outdoor-dual/,/catalog/product/diamant-55-f-outdoor-dual/,/catalog/product/diamant-55-f-outdoor-dual,product,diamant-55-f-outdoor-dual,Diamant 55 F Outdoor Dual,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-55-f-outdoor/,/catalog/product/diamant-55-f-outdoor/,/catalog/product/diamant-55-f-outdoor,product,diamant-55-f-outdoor,Diamant 55 F Outdoor,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-wa-pay/,/catalog/product/diamant-32-wa-pay/,/catalog/product/diamant-32-wa-pay,product,diamant-32-wa-pay,Diamant 32 WA Pay,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-wea-pay/,/catalog/product/diamant-32-wea-pay/,/catalog/product/diamant-32-wea-pay,product,diamant-32-wea-pay,Diamant 32 WEA Pay,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/mono-32-fa-pin/,/catalog/product/mono-32-fa-pin/,/catalog/product/mono-32-fa-pin,product,mono-32-fa-pin,Mono 32 FA PIN,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/beskontaktnyy-dezinfektor-agat-5/,/catalog/product/beskontaktnyy-dezinfektor-agat-5/,/catalog/product/beskontaktnyy-dezinfektor-agat-5,product,beskontaktnyy-dezinfektor-agat-5,Бесконтактный дезинфектор Агат 5,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/beskontaktnyy-dezinfektor-agat-7/,/catalog/product/beskontaktnyy-dezinfektor-agat-7/,/catalog/product/beskontaktnyy-dezinfektor-agat-7,product,beskontaktnyy-dezinfektor-agat-7,Бесконтактный дезинфектор Агат 7,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/beskontaktnyy-dezinfektor-agat-9/,/catalog/product/beskontaktnyy-dezinfektor-agat-9/,/catalog/product/beskontaktnyy-dezinfektor-agat-9,product,beskontaktnyy-dezinfektor-agat-9,Бесконтактный дезинфектор Агат 9,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-intercon/,/catalog/product/diamant-intercon/,/catalog/product/diamant-intercon,product,diamant-intercon,Diamant InterCon,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-tmedical/,/catalog/product/diamant-tmedical/,/catalog/product/diamant-tmedical,product,diamant-tmedical,Diamant TMedical,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
